Timestamp,W/m? Solar Radiation
7/7/2019 6:15,0
7/7/2019 6:30,4
7/7/2019 6:45,10
7/7/2019 7:00,26
7/7/2019 7:15,40
7/7/2019 7:30,160
7/7/2019 7:45,234
7/7/2019 8:00,289
7/7/2019 8:15,341
7/7/2019 8:30,398
7/7/2019 8:45,454
7/7/2019 9:00,508
7/7/2019 9:15,560
7/7/2019 9:30,609
7/7/2019 9:45,660
7/7/2019 10:00,675
7/7/2019 10:15,469
7/7/2019 10:30,654
7/7/2019 10:45,812
7/7/2019 11:00,863
7/7/2019 11:15,896
7/7/2019 11:30,602
7/7/2019 11:45,669
7/7/2019 12:00,561
7/7/2019 12:15,518
7/7/2019 12:30,740
7/7/2019 12:45,459
7/7/2019 13:00,285
7/7/2019 13:15,934
7/7/2019 13:30,563
7/7/2019 13:45,363
7/7/2019 14:00,216
7/7/2019 14:15,64
7/7/2019 14:30,38
7/7/2019 14:45,23
7/7/2019 15:00,43
7/7/2019 15:15,37
7/7/2019 15:30,47
7/7/2019 15:45,35
7/7/2019 16:00,38
7/7/2019 16:15,34
7/7/2019 16:30,37
7/7/2019 16:45,38
7/7/2019 17:00,43
7/7/2019 17:15,45
7/7/2019 17:30,48
7/7/2019 17:45,35
7/7/2019 18:00,19
7/7/2019 18:15,11
7/7/2019 18:30,6
7/7/2019 18:45,2
7/7/2019 19:00,0
7/7/2019 19:15,0
7/7/2019 19:30,0
7/7/2019 19:45,0
7/7/2019 20:00,0
7/7/2019 20:15,0
7/7/2019 20:30,0
7/7/2019 20:45,0
7/7/2019 21:00,0
7/7/2019 21:15,0
7/7/2019 21:30,0
7/7/2019 21:45,0
7/7/2019 22:00,0
7/7/2019 22:15,0
7/7/2019 22:30,0
7/7/2019 22:45,0
7/7/2019 23:00,0
7/7/2019 23:15,0
7/7/2019 23:30,0
7/7/2019 23:45,0
7/8/2019 0:00,0
7/8/2019 0:15,0
7/8/2019 0:30,0
7/8/2019 0:45,0
7/8/2019 1:00,0
7/8/2019 1:15,0
7/8/2019 1:30,0
7/8/2019 1:45,0
7/8/2019 2:00,0
7/8/2019 2:15,0
7/8/2019 2:30,0
7/8/2019 2:45,0
7/8/2019 3:00,0
7/8/2019 3:15,0
7/8/2019 3:30,0
7/8/2019 3:45,0
7/8/2019 4:00,0
7/8/2019 4:15,0
7/8/2019 4:30,0
7/8/2019 4:45,0
7/8/2019 5:00,0
7/8/2019 5:15,0
7/8/2019 5:30,0
7/8/2019 5:45,0
7/8/2019 6:00,0
7/8/2019 6:15,1
7/8/2019 6:30,15
7/8/2019 6:45,37
7/8/2019 7:00,60
7/8/2019 7:15,85
7/8/2019 7:30,136
7/8/2019 7:45,171
7/8/2019 8:00,185
7/8/2019 8:15,197
7/8/2019 8:30,210
7/8/2019 8:45,220
7/8/2019 9:00,350
7/8/2019 9:15,312
7/8/2019 9:30,194
7/8/2019 9:45,414
7/8/2019 10:00,364
7/8/2019 10:15,341
7/8/2019 10:30,437
7/8/2019 10:45,629
7/8/2019 11:00,653
7/8/2019 11:15,527
7/8/2019 11:30,366
7/8/2019 11:45,550
7/8/2019 12:00,634
7/8/2019 12:15,638
7/8/2019 12:30,551
7/8/2019 12:45,401
7/8/2019 13:00,463
7/8/2019 13:15,560
7/8/2019 13:30,566
7/8/2019 13:45,667
7/8/2019 14:00,290
7/8/2019 14:15,269
7/8/2019 14:30,303
7/8/2019 14:45,541
7/8/2019 15:00,288
7/8/2019 15:15,186
7/8/2019 15:30,46
7/8/2019 15:45,45
7/8/2019 16:00,58
7/8/2019 16:15,32
7/8/2019 16:30,25
7/8/2019 16:45,12
7/8/2019 17:00,8
7/8/2019 17:15,11
7/8/2019 17:30,9
7/8/2019 17:45,10
7/8/2019 18:00,27
7/8/2019 18:15,26
7/8/2019 18:30,19
7/8/2019 18:45,9
7/8/2019 19:00,1
7/8/2019 19:15,0
7/8/2019 19:30,0
7/8/2019 19:45,0
7/8/2019 20:00,0
7/8/2019 20:15,0
7/8/2019 20:30,0
7/8/2019 20:45,0
7/8/2019 21:00,0
7/8/2019 21:15,0
7/8/2019 21:30,0
7/8/2019 21:45,0
7/8/2019 22:00,0
7/8/2019 22:15,0
7/8/2019 22:30,0
7/8/2019 22:45,0
7/8/2019 23:00,0
7/8/2019 23:15,0
7/8/2019 23:30,0
7/8/2019 23:45,0
7/9/2019 0:00,0
7/9/2019 0:15,0
7/9/2019 0:30,0
7/9/2019 0:45,0
7/9/2019 1:00,0
7/9/2019 1:15,0
7/9/2019 1:30,0
7/9/2019 1:45,0
7/9/2019 2:00,0
7/9/2019 2:15,0
7/9/2019 2:30,0
7/9/2019 2:45,0
7/9/2019 3:00,0
7/9/2019 3:15,0
7/9/2019 3:30,0
